Ref,Val,Package,PosX,PosY,Rot,Side
"U7","SMCJ150A","SMCJ150A-13-F",37.076100,-51.734357,0.000000,top
"U8","PA343","PA341DF",40.614600,-59.442557,90.000000,top
"U9","PA343","PA341DF",81.305400,-57.816957,90.000000,top
"U10","SMCJ150A","SMCJ150A-13-F",78.084000,-50.007157,0.000000,top
"U11","SMCJ150A","SMCJ150A-13-F",89.547000,-46.474100,-90.000000,top
"U12","SMCJ150A","SMCJ150A-13-F",48.322800,-47.921900,-90.000000,top
"U13","SMCJ150A","SMCJ150A-13-F",214.944900,-51.194400,0.000000,top
"U14","PA343","PA341DF",218.363800,-59.740800,90.000000,top
"U15","PA343","PA341DF",259.283200,-58.216800,90.000000,top
"U16","SMCJ150A","SMCJ150A-13-F",256.379700,-50.127600,0.000000,top
"U17","SMCJ150A","SMCJ150A-13-F",225.843400,-48.683900,-90.000000,top
"U18","SMCJ150A","SMCJ150A-13-F",267.296200,-46.956700,-90.000000,top
